id,hedef,sira,enlem,boylam
441,AMS,24,50.286747,11.079945
442,AMS,25,50.595986,10.211756
443,AMS,26,50.898687,9.332207
444,AMS,27,51.194693,8.441276
445,AMS,28,51.483847,7.538958
446,AMS,29,51.765990,6.625265
447,AMS,30,52.040962,5.700226
448,AMS,31,52.308601,4.763890
449,AQJ,0,41.275278,28.751944
450,AQJ,1,40.904683,28.985912
451,AQJ,2,40.533620,29.217270
452,AQJ,3,40.162101,29.446079
453,AQJ,4,39.790137,29.672395
454,AQJ,5,39.417737,29.896276
455,AQJ,6,39.044913,30.117776
456,AQJ,7,38.671675,30.336949
457,AQJ,8,38.298032,30.553848
458,AQJ,9,37.923993,30.768522
459,AQJ,10,37.549569,30.981023
460,AQJ,11,37.174767,31.191398
461,AQJ,12,36.799598,31.399695
462,AQJ,13,36.424068,31.605961
463,AQJ,14,36.048187,31.810240
464,AQJ,15,35.671963,32.012577
465,AQJ,16,35.295404,32.213014
466,AQJ,17,34.918517,32.411594
467,AQJ,18,34.541310,32.608357
468,AQJ,19,34.163790,32.803345
469,AQJ,20,33.785965,32.996596
470,AQJ,21,33.407841,33.188148
471,AQJ,22,33.029425,33.378040
472,AQJ,23,32.650724,33.566307
473,AQJ,24,32.271745,33.752985
474,AQJ,25,31.892493,33.938110
475,AQJ,26,31.512975,34.121715
476,AQJ,27,31.133197,34.303835
477,AQJ,28,30.753165,34.484501
478,AQJ,29,30.372885,34.663747
479,AQJ,30,29.992361,34.841603
480,AQJ,31,29.611601,35.018101
481,ARN,0,41.275278,28.751944
482,ARN,1,41.880393,28.511563
483,ARN,2,42.484996,28.266588
484,ARN,3,43.089068,28.016834
485,ARN,4,43.692586,27.762107
486,ARN,5,44.295527,27.502202
487,ARN,6,44.897866,27.236908
488,ARN,7,45.499578,26.966000
489,ARN,8,46.100636,26.689242
490,ARN,9,46.701011,26.406387
491,ARN,10,47.300673,26.117173
492,ARN,11,47.899592,25.821328
493,ARN,12,48.497732,25.518562
494,ARN,13,49.095060,25.208571
495,ARN,14,49.691537,24.891034
496,ARN,15,50.287125,24.565613
497,ARN,16,50.881781,24.231949
498,ARN,17,51.475462,23.889664
499,ARN,18,52.068120,23.538361
500,ARN,19,52.659705,23.177615
501,ARN,20,53.250165,22.806980
502,ARN,21,53.839444,22.425982
503,ARN,22,54.427481,22.034119
504,ARN,23,55.014213,21.630858
505,ARN,24,55.599572,21.215634
506,ARN,25,56.183486,20.787847
507,ARN,26,56.765878,20.346860
508,ARN,27,57.346664,19.891994
509,ARN,28,57.925758,19.422528
510,ARN,29,58.503064,18.937695
511,ARN,30,59.078481,18.436676
512,ARN,31,59.651901,17.918600
513,ASB,0,41.275278,28.751944
514,ASB,1,41.291082,29.735904
515,ASB,2,41.298504,30.720213
516,ASB,3,41.297541,31.704621
517,ASB,4,41.288192,32.688872
518,ASB,5,41.270464,33.672716
519,ASB,6,41.244365,34.655899
520,ASB,7,41.209911,35.638172
521,ASB,8,41.167120,36.619285
522,ASB,9,41.116015,37.598994
523,ASB,10,41.056625,38.577055
524,ASB,11,40.988981,39.553229
525,ASB,12,40.913120,40.527281
526,ASB,13,40.829084,41.498980
527,ASB,14,40.736916,42.468101
528,ASB,15,40.636666,43.434423
529,ASB,16,40.528387,44.397731
530,ASB,17,40.412134,45.357817
531,ASB,18,40.287968,46.314480
532,ASB,19,40.155953,47.267524
533,ASB,20,40.016156,48.216760
534,ASB,21,39.868646,49.162009
535,ASB,22,39.713498,50.103097
536,ASB,23,39.550787,51.039859
537,ASB,24,39.380591,51.972136
538,ASB,25,39.202994,52.899781
539,ASB,26,39.018077,53.822650
540,ASB,27,38.825928,54.740611
541,ASB,28,38.626635,55.653540
